name,positive,negative
Mogollon,"Mogollon style {prompt}, Native American, pottery, geometric, highly detailed","non-Native American, pottery, organic, undetailed"
Salado,"Salado style {prompt}, Native American, pottery, polychrome, highly detailed","non-Native American, pottery, duochrome, undetailed"
Zulu,"Zulu style {prompt}, African, basketry, coiled, highly detailed","non-African, pottery, thrown, undetailed"
Maasai,"Maasai style {prompt}, African, beadwork, jewelry, highly detailed","non-African, macrame, wall hanging, undetailed"
Ndebele,"Ndebele style {prompt}, African, mural art, homes, highly detailed","non-African, canvas art, studios, undetailed"
Kuba,"Kuba style {prompt}, African, textile, raffia, highly detailed","non-African, metalwork, steel, undetailed"
Yoruba,"Yoruba style {prompt}, African, sculpture, spiritual, highly detailed","non-African, photography, secular, undetailed"
Akan,"Akan style {prompt}, African, gold weights, symbolic, highly detailed","non-African, silver weights, literal, undetailed"
Berber,"Berber style {prompt}, North African, jewelry, silver, highly detailed","non-North African, clothing, cotton, undetailed"
Dogon,"Dogon style {prompt}, African, wood carving, spiritual, highly detailed","non-African, stone carving, secular, undetailed"
Fang,"Fang style {prompt}, African, mask, ceremonial, highly detailed","non-African, mask, recreational, undetailed"
Baga,"Baga style {prompt}, African, mask, spiritual, highly detailed","non-African, mask, secular, undetailed"
Blade Runner,"Blade Runner {prompt}, Cyberpunk, neon-lit, rainy, dystopian, noir, cinematic, highly detailed","bright, sunny, utopian, cheerful, undetailed"
Star Wars,"Star Wars {prompt}, Space opera, galaxy far, far away, epic, iconic, cinematic, highly detailed","earthly, small scale, uniconic, undetailed"
Lord of the Rings,"Lord of the Rings {prompt}, Epic fantasy, Middle-earth, vast landscapes, highly detailed","science fiction, cityscape, undetailed"
Matrix,"Matrix {prompt}, Cyberpunk, green tint, reality-bending, cinematic, highly detailed","rustic, brown tint, reality-based, undetailed"
Indiana Jones,"Indiana Jones {prompt}, Adventure, archaeology, exotic locations, cinematic, highly detailed","domestic, library, unadventurous, undetailed"
Mad Max,"Mad Max {prompt}, Post-apocalyptic, desert landscapes, dystopian, cinematic, highly detailed","utopian, lush landscapes, pre-apocalyptic, undetailed"
2001: A Space Odyssey,"2001: A Space Odyssey {prompt}, Sci-fi, space exploration, monolith, cinematic, highly detailed","fantasy, earth exploration, monochrome, undetailed"
Alien,"Alien {prompt}, Sci-fi horror, space, xenomorphs, dark, highly detailed","comedy, bright, undetailed"
Avatar,"Avatar {prompt}, Sci-fi, Pandora, bioluminescent, 3D, highly detailed","earthly, non-bioluminescent, 2D, undetailed"
Pulp Fiction,"Pulp Fiction {prompt}, Crime, non-linear narrative, 90s, highly detailed","linear narrative, 2000s, undetailed"
Kill Bill,"Kill Bill {prompt}, Martial arts, vengeance, yellow jumpsuit, cinematic, highly detailed","peaceful, pink jumpsuit, undetailed"
Inception,"Inception {prompt}, Sci-fi, dream within a dream, mind-bending, cinematic, highly detailed","reality-based, straightforward, undetailed"
Fight Club,"Fight Club {prompt}, Dark, gritty, psychological drama, highly detailed","light, glossy, undramatic, undetailed"
Harry Potter,"Harry Potter {prompt}, Fantasy, Hogwarts, wizardry, highly detailed","science fiction, non-magical, undetailed"
Marvel Cinematic Universe,"Marvel Cinematic Universe {prompt}, Superheroes, epic battles, colorful, highly detailed","ordinary people, small conflicts, monochrome, undetailed"
DC Extended Universe,"DC Extended Universe {prompt}, Superheroes, grim, darker tones, highly detailed","ordinary people, cheerful, brighter tones, undetailed"
Game of Thrones,"Game of Thrones {prompt}, Fantasy, Westeros, dragons, highly detailed","science fiction, no dragons, undetailed"
Twilight,"Twilight {prompt}, Romantic fantasy, vampires, Pacific Northwest, highly detailed","non-romantic, zombies, desert, undetailed"
Transformers,"Transformers {prompt}, Sci-fi, giant robots, explosions, highly detailed","fantasy, small creatures, calm, undetailed"
The Hunger Games,"The Hunger Games {prompt}, Dystopian, survival, rebellion, highly detailed","utopian, abundance, conformity, undetailed"
Pirates of the Caribbean,"Pirates of the Caribbean {prompt}, Adventure, pirates, supernatural, highly detailed","domestic, non-pirates, realistic, undetailed"
Jurassic Park,"Jurassic Park {prompt}, Adventure, dinosaurs, Isla Nublar, highly detailed","undramatic, no dinosaurs, mainland, undetailed"
The Shining,"The Shining {prompt}, Horror, haunted hotel, psychological thriller, highly detailed","comedy, non-haunted hotel, undetailed"
The Godfather,"The Godfather {prompt}, Crime, mafia, 1940s-1950s, highly detailed","law-abiding, 2000s, undetailed"
The Dark Knight,"The Dark Knight {prompt}, Superhero, gritty, Batman, Joker, highly detailed","light-hearted, Superman, undetailed"
Casablanca,"Casablanca {prompt}, Drama, romance, WWII, highly detailed","action, non-romantic, modern day, undetailed"
Jaws,"Jaws {prompt}, Thriller, shark, Amity Island, highly detailed","comedy, no shark, mainland, undetailed"
The Wizard of Oz,"The Wizard of Oz {prompt}, Fantasy, musical, Technicolor, Oz, highly detailed","realistic, non-musical, monochrome, Kansas, undetailed"
E,T,,"E,T, {prompt}, Sci-fi, family, suburban, highly detailed","fantasy, non-family, urban, undetailed"
Ghostbusters,"Ghostbusters {prompt}, Comedy, supernatural, New York City, highly detailed","horror, natural, rural, undetailed"
Back to the Future,"Back to the Future {prompt}, Sci-fi, time travel, DeLorean, highly detailed","fantasy, time stationary, non-vehicle, undetailed"
Toy Story,"Toy Story {prompt}, Animated, toys come to life, friendship, highly detailed","live-action, inanimate toys, rivalry, undetailed"
The Lion King,"The Lion King {prompt}, Animated, animal kingdom, African savannah, highly detailed","live-action, human kingdom, urban, undetailed"
Finding Nemo,"Finding Nemo {prompt}, Animated, ocean adventure, Great Barrier Reef, highly detailed","live-action, land adventure, desert, undetailed"
Shrek,"Shrek {prompt}, Animated, fairytale, swamp, highly detailed","live-action, realistic, city, undetailed"
The Little Mermaid,"The Little Mermaid {prompt}, Animated, undersea, mermaids, highly detailed","live-action, land, humans, undetailed"
Aladdin,"Aladdin {prompt}, Animated, Arabian Nights, magic carpet, highly detailed","live-action, modern day, ordinary carpet, undetailed"
Beauty and the Beast,"Beauty and the Beast {prompt}, Animated, fairytale, enchanted castle, highly detailed","live-action, realistic, ordinary house, undetailed"
Cinderella,"Cinderella {prompt}, Animated, fairytale, magical transformation, highly detailed","live-action, realistic, ordinary transformation, undetailed"
Sleeping Beauty,"Sleeping Beauty {prompt}, Animated, fairytale, spinning wheel, highly detailed",""live-action, realistic, sewing machine, undetailed"
Snow White,"Snow White {prompt}, Animated, fairytale, seven dwarfs, highly detailed","live-action, realistic, seven giants, undetailed"
Mulan,"Mulan {prompt}, Animated, historical, Chinese warfare, highly detailed","live-action, futuristic, space warfare, undetailed"
Pocahontas,"Pocahontas {prompt}, Animated, historical, Native American, highly detailed","live-action, modern, urban American, undetailed"
The Nightmare Before Christmas,"The Nightmare Before Christmas {prompt}, Stop-motion, Halloween Town, Christmas Town, highly detailed","live-action, Easter Town, undetailed"
Frozen,"Frozen {prompt}, Animated, fairytale, ice magic, highly detailed","live-action, realistic, fire magic, undetailed"
Moana,"Moana {prompt}, Animated, Polynesian, ocean adventure, highly detailed","live-action, Nordic, mountain adventure, undetailed"
Tangled,"Tangled {prompt}, Animated, fairytale, magic hair, highly detailed","live-action, realistic, ordinary hair, undetailed"
Zootopia,"Zootopia {prompt}, Animated, anthropomorphic animals, urban, highly detailed","live-action, humans, rural, undetailed"
Coco,"Coco {prompt}, Animated, Dia de los Muertos, Mexican culture, highly detailed","live-action, Halloween, American culture, undetailed"
Brave,"Brave {prompt}, Animated, Scottish highlands, archery, highly detailed","live-action, tropical island, surfing, undetailed"
Inside Out,"Inside Out {prompt}, Animated, emotions, abstract, highly detailed","live-action, logical thinking, realistic, undetailed"
The Incredibles,"The Incredibles {prompt}, Animated, superhero, family, highly detailed","live-action, villain, solitary, undetailed"
Up,"Up {prompt}, Animated, adventure, flying house, highly detailed","live-action, everyday life, stationary house, undetailed"
Wall-E,"Wall-E {prompt}, Animated, post-apocalyptic, robots, highly detailed","live-action, pre-apocalyptic, humans, undetailed"
Ratatouille,"Ratatouille {prompt}, Animated, culinary, Paris, highly detailed","live-action, non-culinary, New York, undetailed"
Monsters Inc,,"Monsters Inc, {prompt}, Animated, monsters, scare factory, highly detailed","live-action, humans, laughter factory, undetailed"
Cars,"Cars {prompt}, Animated, anthropomorphic cars, racing, highly detailed","live-action, humans, walking, undetailed"
A Bug's Life,"A Bug's Life {prompt}, Animated, insects, ant colony, highly detailed","live-action, mammals, human society, undetailed"
James Bond,"James Bond {prompt}, Spy, action, globe-trotting, highly detailed","romantic comedy, peace, domestic, undetailed"
Fast and Furious,"Fast and Furious {prompt}, Action, car chases, family, highly detailed","romantic comedy, pedestrian chases, solitary, undetailed"
Mission Impossible,"Mission Impossible {prompt}, Action, spy, impossible stunts, highly detailed","romantic comedy, everyday person, possible stunts, undetailed"
Jurassic World,"Jurassic World {prompt}, Adventure, dinosaurs, theme park, highly detailed","romantic comedy, no dinosaurs, city park, undetailed"
Minions,"Minions {prompt}, Animated, comedy, minions, highly detailed","live-action, drama, no minions, undetailed"
Interstellar,"Interstellar {prompt}, Sci-fi, space travel, wormholes, highly detailed","romantic comedy, earth travel, roads, undetailed"
The Grinch,"The Grinch {prompt}, Animated, Christmas, Whoville, highly detailed","live-action, summer, city, undetailed"
Avengers: Endgame,"Avengers: Endgame {prompt}, Superhero, epic battle, time travel, highly detailed","romantic comedy, small conflict, present time, undetailed"
Wonder Woman,"Wonder Woman {prompt}, Superhero, Amazonian, World War I, highly detailed","romantic comedy, non-Amazonian, modern day, undetailed"
The Iron Giant,"The Iron Giant {prompt}, Animated, robot, 1950s, highly detailed","live-action, human, modern day, undetailed"
Godzilla,"Godzilla {prompt}, Monster, destruction, cityscape, highly detailed","romantic comedy, creation, countryside, undetailed"
King Kong,"King Kong {prompt}, Monster, island, skyscraper, highly detailed","romantic comedy, mainland, low-rise, undetailed"
The Grand Budapest Hotel,"The Grand Budapest Hotel {prompt}, Comedy, hotel, pastel colors, highly detailed","action, wilderness, dark colors, undetailed"
Inside Llewyn Davis,"Inside Llewyn Davis {prompt}, Drama, folk music, 1960s, highly detailed","action, pop music, modern day, undetailed"
Drive,"Drive {prompt}, Action, neon, 1980s aesthetic, highly detailed","romantic comedy, daylight, modern aesthetic, undetailed"
The Neon Demon,"The Neon Demon {prompt}, Horror, fashion, Los Angeles, highly detailed","romantic comedy, construction, New York, undetailed"
It Follows,"It Follows {prompt}, Horror, supernatural, suburbia, highly detailed","romantic comedy, natural, city, undetailed"
Dunkirk,"Dunkirk {prompt}, War, World War II, beach, highly detailed","romantic comedy, peace, city, undetailed"
Her,"Her {prompt}, Romance, sci-fi, artificial intelligence, highly detailed","action, reality, human intelligence, undetailed"
The Revenant,"The Revenant {prompt}, Drama, survival, wilderness, highly detailed","romantic comedy, luxury, city, undetailed"
Whiplash,"Whiplash {prompt}, Drama, music, drumming, highly detailed","action, silence, no music, undetailed"
The Shape of Water,"The Shape of Water {prompt}, Fantasy, romance, aquatic creature, highly detailed","action, hatred, terrestrial creature, undetailed"
A Ghost Story,"A Ghost Story {prompt}, Drama, supernatural, ghost, highly detailed","romantic comedy, natural, human, undetailed"
The Florida Project,"The Florida Project {prompt}, Drama, childhood, motel, highly detailed","action, adulthood, skyscraper, undetailed"
La La Land,"La La Land {prompt}, Musical, romance, Los Angeles, highly detailed","action, hatred, New York, undetailed"
The Lobster,"The Lobster {prompt}", Dark comedy, dystopian, relationship rules, highly detailed","romantic comedy, utopian, no relationship rules, undetailed"
Ex Machina,"Ex Machina {prompt}, Sci-fi, artificial intelligence, secluded mansion, highly detailed","romantic comedy, human intelligence, bustling city, undetailed"
Birdman,"Birdman {prompt}, Drama, Broadway, magical realism, highly detailed","action, Hollywood, realism, undetailed"
Gravity,"Gravity {prompt}, Sci-fi, space, survival, highly detailed","romantic comedy, earth, abundance, undetailed"
The Tree of Life,"The Tree of Life {prompt}, Drama, philosophical, nonlinear narrative, highly detailed","action, practical, linear narrative, undetailed"
Inception,"Inception {prompt}, Sci-fi, dream manipulation, heist, highly detailed","romantic comedy, reality, gift-giving, undetailed"
The Social Network,"The Social Network {prompt}, Drama, Facebook, entrepreneurship, highly detailed","action, Myspace, employment, undetailed"
Moonlight,"Moonlight {prompt}, Drama, coming-of-age, Miami, highly detailed","action, aging, Los Angeles, undetailed"
Roma,"Roma {prompt}, Drama, Mexico City, 1970s, highly detailed","action, New York City, modern day, undetailed"
Parasite,"Parasite {prompt}, Thriller, class disparity, South Korea, highly detailed","romantic comedy, class equality, United States, undetailed"
1917,"1917 {prompt}, War, World War I, single shot, highly detailed","romantic comedy, peace, multiple shots, undetailed"
Jojo Rabbit,"Jojo Rabbit {prompt}, Comedy, World War II, imaginary friend, highly detailed","drama, modern day, real friend, undetailed"
Joker,"Joker {prompt}, Drama, psychological, Gotham City, highly detailed","romantic comedy, psychological well-being, Metropolis, undetailed"
The Lighthouse,"The Lighthouse {prompt}, Drama, isolation, lighthouse, highly detailed","romantic comedy, community, city, undetailed"
Once Upon a Time in Hollywood,"Once Upon a Time in Hollywood {prompt}, Comedy-drama, 1960s Hollywood, film industry, highly detailed","action, modern Hollywood, tech industry, undetailed"
The Irishman,"The Irishman {prompt}, Crime, mafia, aging, highly detailed","romantic comedy, law-abiding citizens, youth, undetailed"
Uncut Gems,"Uncut Gems {prompt}, Crime, debt, gambling, highly detailed","romantic comedy, abundance, saving, undetailed"
Little Women,"Little Women {prompt}, Drama, coming-of-age, Civil War era, highly detailed","action, aging, modern day, undetailed"
Knives Out,"Knives Out {prompt}, Mystery, whodunit, wealthy family, highly detailed","romantic comedy, clear culprit, poor family, undetailed"
Marriage Story,"Marriage Story {prompt}, Drama, divorce, bi-coastal, highly detailed","romantic comedy, marriage, same city, undetailed"
Midsommar,"Midsommar {prompt}, Horror, cult, Sweden, highly detailed","romantic comedy, mainstream religion, United States, undetailed"
Booksmart,"Booksmart {prompt}, Comedy, high school, overachievers, highly detailed","drama, college, underachievers, undetailed"
Ford v Ferrari,"Ford v Ferrari {prompt}, Drama, racing, 1960s, highly detailed","romantic comedy, walking, modern day, undetailed"
Rocketman,"Rocketman {prompt}, Musical, biographical, Elton John, highly detailed","action, fictional, ordinary person, undetailed"
Ad Astra,"Ad Astra {prompt}, Sci-fi, space travel, father-son relationship, highly detailed","romantic comedy, earth travel, romantic relationship, undetailed"
Waves,"Waves {prompt}, Drama, family tragedy, forgiveness, highly detailed","romantic comedy, family comedy, grudge, undetailed"
The Farewell,"The Farewell {prompt}, Drama, family, cultural conflict, highly detailed","romantic comedy, strangers, cultural harmony, undetailed"
Hustlers,"Hustlers {prompt}, Drama, strippers, financial crime, highly detailed","romantic comedy, office workers, financial responsibility, undetailed"
Portrait of a Lady on Fire,"Portrait of a Lady on Fire {prompt}, Romance, art, 18th century France, highly detailed","action, science, modern day United States, undetailed"
Pain and Glory,"Painand Glory {prompt}, Drama, filmmaking, memory, highly detailed","romantic comedy, accounting, forgetfulness, undetailed"
The Two Popes,"The Two Popes {prompt}, Drama, Vatican, philosophical discussions, highly detailed","action, a small town, physical challenges, undetailed"
A Beautiful Day in the Neighborhood,"A Beautiful Day in the Neighborhood {prompt}, Drama, Fred Rogers, kindness, highly detailed","action, a villainous character, ruthlessness, undetailed"
The Peanut Butter Falcon,"The Peanut Butter Falcon {prompt}, Adventure, friendship, wrestling, highly detailed","romantic comedy, rivalry, chess, undetailed"
The Goldfinch,"The Goldfinch {prompt}, Drama, art, trauma, highly detailed","action, science, joy, undetailed"
High Life,"High Life {prompt}, Sci-fi, space travel, isolation, highly detailed","romantic comedy, road trip, companionship, undetailed"
The Nightingale,"The Nightingale {prompt}, Drama, revenge, colonial Tasmania, highly detailed","romantic comedy, forgiveness, modern California, undetailed"
Yesterday,"Yesterday {prompt}, Comedy, music, The Beatles, highly detailed","drama, silence, unknown band, undetailed"
Doctor Sleep,"Doctor Sleep {prompt}, Horror, supernatural, The Shining sequel, highly detailed","romantic comedy, natural, standalone story, undetailed"
The Farewell,"The Farewell {prompt}, Drama, family, terminal illness, highly detailed","romantic comedy, friends, good health, undetailed"
John Wick 3,"John Wick 3 {prompt}, Action, assassin, relentless pursuit, highly detailed","romantic comedy, pacifist, peaceful life, undetailed"
Us,"Us {prompt}, Horror, doppelgangers, underground, highly detailed","romantic comedy, identical twins, above ground, undetailed"
The Irishman,"The Irishman {prompt}, Crime, mobster, union, highly detailed","romantic comedy, law-abiding citizen, small business, undetailed"
Honey Boy,"Honey Boy {prompt}, Drama, father-son relationship, Hollywood, highly detailed","romantic comedy, mother-daughter relationship, a small town, undetailed"
Joker,"Joker {prompt}, Drama, mental health, Gotham City, highly detailed","romantic comedy, mental well-being, Metropolis, undetailed"
Uncut Gems,"Uncut Gems {prompt}, Crime, gambling, New York City's Diamond District, highly detailed","romantic comedy, savings, rural town, undetailed"
1917,"1917 {prompt}, War, World War I, real-time, highly detailed","romantic comedy, peacetime, timeless, undetailed"
Ford v Ferrari,"Ford v Ferrari {prompt}, Drama, racing, corporate politics, highly detailed","romantic comedy, walking, friendship, undetailed"
Cats,"Cats {prompt}, Musical, anthropomorphic cats, surreal, highly detailed","action, ordinary humans, realism, undetailed"
Jojo Rabbit,"Jojo Rabbit {prompt}, Comedy-drama, World War II, Hitler Youth, highly detailed","romantic comedy, modern day, ordinary youth, undetailed"
Parasite,"Parasite {prompt}, Drama, social class, deception, highly detailed","romantic comedy, equality, honesty, undetailed"
The Lion King,"The Lion King {prompt}, Animated, animal kingdom, Shakespearean, highly detailed","live-action, human kingdom, modern, undetailed"
Aladdin,"Aladdin {prompt}, Animated, Middle Eastern, magic, highly detailed","live-action, Western, science, undetailed"
Toy Story 4,"Toy Story 4 {prompt}, Animated, toys, adventure, highly detailed","live-action, non-living objects, ordinary life, undetailed"
Avengers: Endgame,"Avengers: Endgame {prompt}, Superhero, epic, time travel, highly detailed","romantic comedy, small-scale, present day, undetailed"
Star Wars: The Rise of Skywalker,"Star Wars: The Rise of Skywalker {prompt}, Sci-fi, space opera, Jedi, highly detailed","romantic comedy, earthbound, everyday person, undetailed"
Downton Abbey,"Downton Abbey {prompt}, Drama, British aristocracy, period piece, highly detailed","romantic comedy, modern middle class, present day, undetailed"
Frozen 2,"Frozen 2 {prompt}, Animated, fairytale, sisterhood, highly detailed","live-action, realism, rivalry, undetailed"
Little Women,"Little Women {prompt}, Drama, sisters, Civil War era, highly detailed","action, brothers, modern day, undetailed"
2D Traditional Animation,"traditional 2D animation {prompt}, hand-drawn, frames, expressive, vibrant colors, highly detailed","3D, CG, stop-motion, photo-realistic, black and white"
CGI Animation,"CGI animation {prompt}, 3D, photorealistic, high-quality textures and lighting, highly detailed","2D, stop-motion, anime, manga, black and white"
Stop-Motion Animation,"stop-motion animation {prompt}, physical models, frame-by-frame, quirky, distinctive, highly detailed","2D, 3D, CG, anime, manga, black and white"
Claymation,"claymation {prompt}, clay models, stop-motion, handcrafted, tactile, highly detailed","2D, 3D, CG, anime, manga, black and white"
Vector Animation,"vector animation {prompt}, digital, clean lines, geometric shapes, bold colors, highly detailed","stop-motion, claymation, 3D, CG, black and white"
Flash Animation,"flash animation {prompt}, digital, vector graphics, tweening, simple shapes, highly detailed","stop-motion, claymation, 3D, CG, black and white"
Rotoscope Animation,"rotoscope animation {prompt}, traced over live-action, realistic movement, highly detailed","stop-motion, claymation, 3D, CG, black and white"
Cut-Out Animation,"cut-out animation {prompt}, paper or fabric cut-outs, stop-motion, handcrafted, highly detailed","2D, 3D, CG, anime, manga, black and white"
Sand Animation,"sand animation {prompt}, sand manipulated on light box, fluid movement, highly detailed","2D, 3D, CG, anime, manga, black and white"
Pixel Art Animation,"pixel art animation {prompt}, low-res, blocky, digital, 8-bit, highly detailed","stop-motion, claymation, 3D, CG, black and white"
Anime Style Animation,"anime style animation {prompt}, Japanese style, hand-drawn or digital, vibrant, unique character designs, highly detailed","western cartoons, 3D, CG, black and white"
Manga Style Art,"manga style {prompt}, Japanese comics, black and white, unique character designs, detailed backgrounds, highly detailed","western comics, 3D, CG, vibrant colors"
Chibi Style Art,"chibi style {prompt}, Japanese, super-deformed, cute, exaggerated features, vibrant colors, highly detailed","realistic, 3D, CG, western comics, black and white"
Superflat,"superflat {prompt}, Japanese, postmodern art, flat planes of color, manga and anime influences, highly detailed","3D, CG, western art styles, black and white"
Ukiyo-e,"ukiyo-e style {prompt}, Japanese woodblock prints, flat areas of color, detailed patterns, subjects from history and mythology, highly detailed","modern, 3D, CG, western art styles, black and white"
Western Comics Art,"western comics art {prompt}, bold lines, dynamic poses, vibrant colors, dramatic lighting, highly detailed","anime, manga, 3D, CG, black and white"
Graphic Novel Art,"graphic novel art {prompt}, detailed, expressive, ranges from black and white to full color, often more realistic than traditional comics, highly detailed","anime, manga, 3D, CG, western comics"
Cartoon Modern,"cartoon modern {prompt}, mid-century modern aesthetic, stylized, geometric shapes, flat colors, highly detailed","realistic, 3D, CG, anime, manga, black and white"
Abstract Animation,"abstract animation {prompt}, nonrepresentational, uses movement and color to create mood or emotion, highly detailed","realistic, 3D, CG, anime, manga, black and white"
Silhouette Animation,"silhouette animation {prompt}, black figures against light background, dramatic, based on shadow puppetry, highly detailed","colorful, 3D, CG, anime, manga, black and white"
Looney Tunes,"Looney Tunes {prompt}, Cartoon, slapstick humor, dynamic and exaggerated character designs, colorful, vibrant, whimsical","3D, realism, manga, black and white, subdued, serious"
Disney Classic,"Disney Classic {prompt}, Animation, fairy tales, musical numbers, expressive characters, bright colors, detailed, professional","manga, anime, black and white, sketchy, rough"
Studio Ghibli,"Studio Ghibli {prompt}, Anime, magical realism, environmental themes, unique characters, breathtaking landscapes, highly detailed","cartoon, slapstick, black and white, photo-realistic, barren"
Pixar,"Pixar {prompt}, 3D animation, heartwarming stories, photorealistic environments, appealing character designs, emotional depth, detailed, professional","2D, anime, manga, black and white, sketchy"
Shonen,"Shonen {prompt}, Manga, action-packed, youthful characters, dynamic battles, inspiring themes, highly detailed","Disney, Pixar, black and white, realism, romantic comedy"
Mecha,"Mecha {prompt}, Anime, robots, futuristic technologies, dynamic battles, detailed mechanical designs, highly detailed","Disney, Pixar, cartoon, Looney Tunes, realism, fairy tales"
Shojo,"Shojo {prompt}, Manga, romantic themes, delicate art style, emotional narratives, highly detailed","action, mecha, 3D, Pixar, black and white, barren"
Nickelodeon,"Nickelodeon {prompt}, Cartoon, humor, dynamic characters, wacky and colorful designs, highly detailed","anime, manga, black and white, sketchy, serious"
Cartoon Network,"Cartoon Network {prompt}, Cartoon, humor, dynamic characters, unique and abstract designs, highly detailed","anime, manga, black and white, sketchy, serious"
Adult Swim,"Adult Swim {prompt}, Animation, adult humor, surreal themes, unique and abstract designs, highly detailed","children's cartoons, Disney, fairy tales, bright colors, traditional"
Adventure Time,"Adventure Time {prompt}, Cartoon, fantasy themes, quirky characters, vibrant colors, highly detailed","anime, manga, black and white, sketchy, serious"
Rick and Morty,"Rick and Morty {prompt}, Cartoon, science fiction, adult humor, unique and abstract designs, highly detailed","children's cartoons, Disney, fairy tales, bright colors, traditional"
South Park,"South Park {prompt}, Animation, satire, crude humor, simplistic designs, highly detailed","anime, manga, Disney, Pixar, detailed, professional"
The Simpsons,"The Simpsons {prompt}, Animation, satire, family themes, recognizable yellow characters, highly detailed","anime, manga, Disney, Pixar, black and white"
Family Guy,"Family Guy {prompt}, Animation, adult humor, satirical themes, cartoonish designs, highly detailed","anime, manga, Disney, Pixar, black and white"
Bob's Burgers,"Bob's Burgers {prompt}, Animation, family themes, humor, quirky characters, highly detailed","anime, manga, Disney, Pixar, black and white"
Gravity Falls,"Gravity Falls {prompt}, Cartoon, mystery, fantasy themes, unique character designs, highly detailed","anime, manga, Disney, Pixar, black and white"
Steven Universe,"Steven Universe {prompt}, Cartoon, LGBTQ+ themes, fantasy, vibrant colors, unique character designs, highly detailed","anime, manga, Disney, Pixar, black and white"
One Piece,"One Piece {prompt}, Manga, adventure, pirates, dynamic battles, unique character designs, highly detailed","cartoon, realism, Disney, Pixar, black and white"
Attack on Titan,"Attack on Titan {prompt}, Anime, dystopian, giants, dynamic battles, highly detailed","cartoon, realism, Disney, Pixar, black and white"
My Hero Academia,"My Hero Academia {prompt}, Anime, superhero, high school, dynamic battles, unique character designs, highly detailed","cartoon, realism, Disney, Pixar, black and white"
Naruto,"Naruto {prompt}, Anime, ninjas, coming-of-age, dynamic battles, unique character designs, highly detailed","cartoon, realism, Disney, Pixar, black and white"
Dragon Ball Z,"Dragon Ball Z {prompt}, Anime, martial arts, aliens, dynamic battles, unique character designs, highly detailed","cartoon, realism, Disney, Pixar, black and white"
Sailor Moon,"Sailor Moon {prompt}, Anime, magical girls, romance, unique character designs, highly detailed","cartoon, realism, Disney, Pixar, black and white"
Cowboy Bebop,"Cowboy Bebop {prompt}, Anime, space western, bounty hunters, noir themes, highly detailed","cartoon, realism, Disney, Pixar, black and white"
Van Gogh, "Van Gogh style {prompt}, Expressive, impasto, swirling brushwork, vibrant," "realistic, photorealistic, calm, straight lines"
Warhol, "Warhol style {prompt}, Pop art, bold colors, mass production, repetitive," "subdued colors, traditional, unique, serious"
Picasso, "Picasso style {prompt}, Cubist, geometric, abstract, innovative," "realistic, detailed, smooth, fluid, single perspective"
Da Vinci, "Da Vinci style {prompt}, Realistic, sfumato, detailed, chiaroscuro," "abstract, vibrant colors, bold, loose brushwork"
Monet, "Monet style {prompt}, Impressionist, light-filled, loose brushwork, en plein air," "defined, detailed, subdued, studio work"
Dali, "Dali style {prompt}, Surrealist, dreamlike, bizarre, symbolic," "realistic, ordinary, rational, clear, obvious"
Pollock, "Pollock style {prompt}, Abstract expressionist, gestural, dripping, layered," "sharp, precise, realistic, calm"
Rothko, "Rothko style {prompt}, Color field, abstract, simple, large-scale," "detailed, small, complex, figurative"
Matisse, "Matisse style {prompt}, Fauvist, bold colors, loose, decorative," "realistic, subdued colors, detailed, serious"
Banksy, "Banksy style {prompt}, Street art, satirical, stenciled, urban," "classic, traditional, indoor, realism"
Michelangelo, "Michelinagelo style {prompt}, High Renaissance, sculptural, detailed, humanistic," "abstract, loose, simplistic, impersonal"
Kusama, "Kusama style {prompt}, Pop Art, abstract, polka dots, immersive," "plain, monotone, realistic, sparse"
Hokusai, "Hokusai style {prompt}, Ukiyo-e, woodblock print, detailed, narrative," "abstract, free-form, modern, minimal"
O'Keeffe, "O'Keeffe style {prompt}, Modernist, floral, bold, abstract," "small scale, detailed, muted colors, complex"
Cezanne, "Cezanne style {prompt}, Post-impressionist, geometric, detailed, brushstrokes," "smooth, flat, loose, fluid"
Hopper, "Hopper style {prompt}, Realistic, light and shadow, loneliness, American urban," "busy, crowded, vibrant, abstract"
Klimt, "Klimt style {prompt}, Symbolist, decorative, ornamental, sensual," "simple, bare, abstract, rough"
Chagall, "Chagall style {prompt}, Surrealist, dreamy, vibrant, narrative," "realistic, dull, serious, minimal"
Lichtenstein, "Lichtenstein style {prompt}, Pop art, comic strip, bold, ironic," "realistic, traditional, serious, detailed"
Basquiat, "Basquiat style {prompt}, Neo-expressionist, primitive, graffiti, social commentary," "polished, elegant, subdued, subtle"
Frida Kahlo, "Frida Kahlo style {prompt}, Symbolic, surrealistic, emotional, vibrant," "realistic, subdued, impersonal, monochromatic"
Georgia O'Keeffe, "Georgia O'Keeffe style {prompt}, Modernist, abstract, large scale, organic," "small, detailed, geometric, muted colors"
Jackson Pollock, "Jackson Pollock style {prompt}, Abstract expressionist, action painting, drip technique, energetic," "controlled, figurative, calm, small scale"
Rembrandt, "Rembrandt style {prompt}, Baroque, chiaroscuro, realistic, emotional," "flat lighting, abstract, impersonal, clean"
Renoir, "Renoir style {prompt}, Impressionist, vibrant, lively, warm," "dull, calm, detailed, cool colors"
Magritte, "Magritte style {prompt}, Surrealist, thought-provoking, mysterious, realistic," "abstract, obvious, open, unrefined"
